id|score
1|0.99882
2|0.99597
3|0.12324
4|6.9e-4
5|0.03579
6|0.98805
7|0.99855
8|0.00231
9|0.99938
10|0.00302
11|0.00155
12|0.99718
13|0.99826
14|0.99827
15|0.96212
16|4.6e-4
17|0.00263
18|0.9982
19|0.99937
20|0.57057
21|0.94977
22|0.99707
23|0.99078
24|0.99964
25|0.99806
26|0.00235
27|0.96589
28|0.99838
29|0.99857
30|0.97038
31|0.00447
32|0.97552
33|0.99921
34|0.99949
35|0.00355
36|0.99958
37|0.9994
38|0.98754
39|6.7e-4
40|0.00233
41|5.3e-4
42|0.99956
43|0.99912
44|0.99705
45|0.99946
46|0.00572
47|9.9e-4
48|0.9901
49|0.99957
50|0.99059
51|0.99955
52|0.00178
53|0.00243
54|0.00542
55|0.99571
56|0.99884
57|0.97802
58|0.99753
59|0.00346
60|0.99298
61|0.00111
62|0.99705
63|0.00237
64|0.99902
65|0.98887
66|0.99898
67|0.99915
68|0.99879
69|0.95759
70|0.99818
71|0.00363
72|0.00155
73|0.99818
74|0.99831
75|4.5e-4
76|9.9e-4
77|0.99897
78|0.00137
79|0.99961
80|0.99693
81|3.6e-4
82|0.0015
83|0.99903
84|0.99745
85|7.8e-4
86|0.99304
87|0.99638
88|0.98352
89|0.99911
90|7.3e-4
91|0.99469
92|0.98746
93|0.99938
94|0.99239
95|0.99859
96|0.99918
97|0.00307
98|0.99332
99|0.99733
100|0.99925
101|0.99305
102|0.00118
103|0.99966
104|0.99739
105|0.99886
106|0.1373
107|0.00159
108|0.98779
109|0.99742
110|0.97524
111|0.00173
112|0.99811
113|0.99837
114|0.99833
115|0.00143
116|5.7e-4
117|0.99363
118|0.99918
119|4.4e-4
120|0.97482
121|0.97073
122|0.98583
123|0.99956
124|0.9867
125|0.99917
126|0.00703
127|9.9e-4
128|0.99529
129|9.6e-4
130|0.9993
131|0.99827
132|0.99815
133|0.00233
134|0.98919
135|0.99775
136|0.00115
137|0.98275
138|0.99972
139|0.001
140|0.99971
141|0.98261
142|0.99836
143|0.00195
