id|score
1|0.99873
2|0.99642
3|0.12732
4|6.2e-4
5|0.04046
6|0.98726
7|0.99836
8|0.0024
9|0.99935
10|0.00329
11|0.00183
12|0.9975
13|0.99817
14|0.99875
15|0.96309
16|4.5e-4
17|0.00254
18|0.99794
19|0.99936
20|0.54434
21|0.94519
22|0.99732
23|0.99136
24|0.99967
25|0.99817
26|0.0021
27|0.96793
28|0.99837
29|0.99857
30|0.9702
31|0.00451
32|0.97696
33|0.99915
34|0.99947
35|0.00345
36|0.99965
37|0.9994
38|0.98828
39|6.9e-4
40|0.00224
41|4.9e-4
42|0.99958
43|0.99902
44|0.99658
45|0.99952
46|0.00608
47|0.00104
48|0.98939
49|0.99958
50|0.99156
51|0.99955
52|0.00177
53|0.0024
54|0.00486
55|0.99629
56|0.99907
57|0.97832
58|0.99765
59|0.00363
60|0.99224
61|9.7e-4
62|0.99698
63|0.00225
64|0.99892
65|0.98758
66|0.99887
67|0.99919
68|0.99886
69|0.96036
70|0.99788
71|0.00373
72|0.00124
73|0.99805
74|0.99849
75|4.3e-4
76|0.00111
77|0.99888
78|0.00115
79|0.99958
80|0.99661
81|3.7e-4
82|0.00149
83|0.99899
84|0.99719
85|7.8e-4
86|0.99405
87|0.99626
88|0.98292
89|0.99911
90|7.1e-4
91|0.9953
92|0.98195
93|0.99944
94|0.99299
95|0.99859
96|0.9992
97|0.00289
98|0.99438
99|0.99706
100|0.9992
101|0.99276
102|0.00101
103|0.99964
104|0.99751
105|0.99894
106|0.13495
107|0.00145
108|0.98654
109|0.99713
110|0.97046
111|0.00156
112|0.99791
113|0.99837
114|0.99805
115|0.0012
116|6.4e-4
117|0.99409
118|0.99921
119|4.3e-4
120|0.97529
121|0.97509
122|0.98771
123|0.99958
124|0.98767
125|0.99916
126|0.00674
127|9.2e-4
128|0.99458
129|9.9e-4
130|0.99934
131|0.99796
132|0.99794
133|0.0022
134|0.99011
135|0.99743
136|0.0012
137|0.98264
138|0.99976
139|9.9e-4
140|0.99969
141|0.98001
142|0.99815
143|0.00182
144|0.97259
145|0.99624
146|0.97253
147|0.99739
148|0.00107
149|0.00131
150|0.98396
151|0.00322
152|0.99379
153|0.98483
154|0.99804
155|9.2e-4
156|0.99704
157|0.00287
158|0.00159
159|0.00225
160|0.9997
161|0.99969
162|0.999
163|0.00117
164|0.98688
165|0.99587
166|0.87656
167|0.91369
168|0.99521
169|0.99852
170|0.22069
171|0.99455
172|0.00342
173|0.00162
174|0.00483
175|0.00504
176|0.00122
177|0.99527
178|0.99149
179|0.99909
180|0.00185
181|0.99754
182|0.99819
183|0.99743
184|0.98974
185|0.00176
186|0.00434
187|0.99954
188|0.99931
189|0.99843
190|9.2e-4
191|0.99954
192|0.00343
193|0.65058
194|0.99929
195|0.00413
196|0.99899
197|0.91725
198|0.00138
199|0.99731
200|0.9995
201|0.00562
202|0.00356
203|0.90166
204|6.6e-4
205|0.98887
206|0.00288
207|0.0115
208|0.99845
209|0.99836
210|0.93583
211|0.00149
212|0.004
213|0.00126
214|0.997
215|0.99734
216|0.00603
217|0.9986
218|0.00139
219|0.99908
220|0.90177
221|0.99967
222|0.00538
223|0.00539
224|0.00276
225|0.00112
226|0.00115
227|0.00112
228|0.99791
229|0.00501
230|0.99941
231|0.999
232|0.9511
233|0.00471
234|0.99956
235|8.4e-4
236|0.75509
237|0.00171
238|0.00165
239|0.99917
240|0.00516
241|0.98262
242|4.1e-4
243|0.99896
244|0.00137
245|6.8e-4
246|0.99908
247|0.00127
248|0.99521
249|0.00102
250|0.99815
251|0.99948
252|0.99932
253|0.00201
254|0.99906
255|0.9837
256|0.99886
257|0.95546
258|0.99387
259|0.99904
260|0.90954
261|0.99879
262|0.99622
263|0.0027
264|0.99839
265|0.9962
266|0.98578
267|0.00116
268|0.00104
269|0.00214
270|4.9e-4
271|0.99844
272|0.94798
273|0.99406
274|0.9988
275|0.99309
276|0.99889
277|0.00166
278|0.99007
279|0.99719
280|7.5e-4
281|0.99106
282|0.99917
283|0.99878
284|0.00143
285|0.99901
286|9.1e-4
287|0.11399
288|0.00233
289|0.99819
290|0.99789
291|9.8e-4
292|0.99104
293|0.99274
294|0.99779
295|0.00298
296|0.99156
297|0.99866
298|0.98704
299|0.99279
300|0.00116
301|9.7e-4
302|0.00359
303|0.99925
304|0.00253
305|0.99827
306|0.00214
307|0.006
308|0.00503
309|0.99867
310|0.99954
311|0.00156
312|0.99799
313|0.00275
314|0.00432
315|0.99918
316|0.99959
317|0.00679
318|0.97429
319|0.00149
320|0.99963
321|0.95291
322|0.00326
323|0.99759
324|0.00117
325|0.9984
326|0.00243
327|0.00539
328|0.00243
329|7.1e-4
330|0.99745
331|7.5e-4
332|0.00561
333|0.00412
334|0.99929
335|0.00144
336|0.00239
337|0.97425
338|0.99894
339|0.00382
340|0.99823
341|0.99959
342|0.99964
343|0.99941
344|0.97044
345|0.99789
346|0.00244
347|0.00267
348|0.00162
349|0.00167
350|0.99915
351|0.99974
352|0.00116
353|0.9986
354|0.99576
355|0.00105
356|0.99573
357|5.8e-4
358|0.00162
359|0.46661
360|0.99826
361|0.98638
362|0.99816
363|0.99967
364|0.00316
365|0.00261
366|0.26599
367|9.6e-4
368|0.00309
369|6e-4
370|0.16501
371|0.9912
372|0.99718
373|7.8e-4
374|0.99806
375|0.00255
376|0.00221
377|0.99511
378|0.99975
379|0.00102
380|0.99879
381|0.99874
382|0.17245
383|0.05539
384|0.00388
385|0.00316
386|0.99718
387|0.00227
388|0.99967
389|0.99928
390|7.2e-4
391|0.00313
392|0.00142
393|0.99771
394|0.00125
395|0.00432
396|0.74702
397|0.83536
398|0.00192
399|0.99822
400|0.00181
401|0.99835
402|0.98617
403|0.98004
404|0.00215
405|0.00194
406|0.00187
407|7.6e-4
408|0.9843
409|0.00392
410|0.00138
411|0.00316
412|0.27355
413|0.00239
414|3.7e-4
415|3.3e-4
416|0.99259
417|0.00947
418|0.00268
419|0.00395
420|0.00138
421|0.00138
422|6.5e-4
423|0.00207
424|0.00206
425|0.00138
426|0.00182
427|0.0026
428|0.99065
429|0.99642
430|8.8e-4
431|0.99977
432|0.00421
433|0.96981
434|8.4e-4
435|0.99975
436|0.00164
437|0.99905
438|0.99704
439|0.99704
440|0.00143
441|0.99885
442|0.99943
443|0.00212
444|0.00301
445|0.00224
446|0.10303
447|0.99884
448|0.00172
449|0.00106
450|0.99739
451|0.00335
452|0.00191
453|0.99758
454|0.00306
455|0.98175
456|0.00113
457|0.31485
458|0.00154
459|0.76767
460|0.00133
461|0.9965
462|0.00156
463|0.00143
464|0.00144
465|0.00101
466|0.99865
467|7.8e-4
468|0.9959
469|0.21795
470|0.99896
471|0.00558
472|0.9997
473|0.00796
474|0.00316
475|0.0012
476|0.09539
477|5.3e-4
478|0.00675
479|0.99915
480|0.99916
481|6e-4
482|0.99787
483|0.99962
484|0.99696
485|0.99948
486|7.7e-4
487|0.0012
488|0.01145
489|0.0018600000000000001
490|0.5475
491|0.06557
492|0.00215
493|0.99815
494|0.0014
495|0.99839
496|7.5e-4
497|6.5e-4
498|4.7e-4
499|7.5e-4
500|6.5e-4
501|0.00425
502|0.99978
503|0.99943
504|0.9801
505|0.00126
506|0.00281
507|0.00223
508|0.00301
509|0.00259
510|0.00194
511|0.00485
512|0.00628
513|8.2e-4
514|0.62172
515|0.98865
516|0.98873
517|0.00266
518|0.00283
519|9.8e-4
520|0.00264
521|0.99146
522|0.99962
523|8.1e-4
524|0.99093
525|0.98601
526|0.00292
527|0.99524
528|0.00118
529|0.00316
530|0.99505
531|0.00303
532|0.00194
533|0.0018600000000000001
534|0.99829
535|0.99854
536|0.00543
537|0.99811
538|8.9e-4
539|0.99169
540|0.00275
541|0.99943
542|0.99944
543|0.99982
544|0.0016
545|0.40665
546|0.60399
547|0.99809
548|0.00213
549|0.99004
550|0.99016
551|0.99472
552|0.99921
553|0.00148
554|0.99831
555|0.00211
556|0.00209
557|0.00205
558|0.99881
559|0.99902
560|0.99958
561|0.99943
562|6.4e-4
563|0.99975
564|0.00189
565|0.99906
566|0.00153
567|8.9e-4
568|0.00252
569|0.00154
570|0.00475
571|0.99968
572|0.00108
573|0.70099
574|0.99939
575|3.9e-4
576|0.1717
577|0.0017
578|0.99982
579|3.6e-4
580|6.6e-4
581|0.99977
582|0.00316
583|0.99968
584|0.99915
585|0.99868
586|7.2e-4
587|0.99689
588|0.99338
589|0.99809
590|0.99423
591|0.99843
592|0.99841
593|4.2e-4
594|0.99617
595|0.0022
596|0.00121
597|0.9941
598|0.98055
599|0.99866
600|0.28282
601|0.0044
602|0.00303
603|0.00177
604|0.92681
605|0.99476
606|0.83456
607|0.99652
608|0.99688
609|9.4e-4
610|0.00793
611|0.02739
612|0.99547
613|0.99708
614|0.98756
615|0.00338
616|0.00347
617|0.00118
618|0.00154
619|0.00208
620|0.00125
621|0.00114
622|0.96319
623|0.00207
624|0.01579
625|0.01622
626|0.99889
627|0.02192
628|0.01571
629|0.01594
630|3.6e-4
631|0.87245
632|0.00318
633|0.00886
634|0.00115
635|0.00187
636|3.3e-4
637|0.06817
638|0.00157
639|0.00198
640|0.00286
641|0.00203
642|0.99596
643|0.00208
644|0.99757
645|3.7e-4
646|0.99698
647|0.99268
648|0.99778
649|0.00176
650|0.00135
651|0.05909
652|0.00175
653|0.00211
654|0.99749
655|0.00214
656|0.39287
657|0.49662
658|0.99905
659|0.99905
660|0.99904
661|0.9974
662|0.99965
663|0.0034
664|0.00189
665|0.98354
666|0.06623
667|0.15278
668|0.12103
669|0.00563
670|0.00626
671|0.00295
672|6.7e-4
673|0.00797
674|0.00245
675|0.9885
676|0.00314
677|0.00197
678|0.00187
679|0.00326
680|0.05809
681|0.00488
682|0.03692
683|0.13509
684|8e-4
685|0.01826
686|7.3e-4
687|0.99687
688|0.05341
689|5.4e-4
690|6.6e-4
691|0.00256
692|0.00284
693|0.02092
694|0.99785
695|0.00435
696|0.17527
697|0.05006
698|0.12463
699|0.00134
700|0.00127
701|0.00314
702|0.00314
703|0.02664
704|0.0051
705|0.0024
706|0.00109
707|0.04882
708|0.00413
709|0.00204
710|0.9967
711|0.05718
712|5.5e-4
713|0.00238
714|0.00259
715|0.9885
716|0.0026
717|3.4e-4
718|0.00102
719|0.00217
720|0.98997
721|0.002
722|9.9e-4
723|8.9e-4
724|0.00285
725|0.00495
726|0.9955
727|0.03547
728|0.02226
729|0.00645
730|0.00145
731|0.00168
732|0.00144
733|0.00184
734|0.95853
735|0.95863
736|0.98687
737|0.00164
738|0.00287
739|0.99851
740|0.0032
741|0.00757
742|0.00193
743|0.99649
744|0.07625
745|0.00132
746|0.99455
747|0.99239
748|0.00284
749|2.1e-4
750|0.00516
751|0.00168
752|0.00101
753|0.00216
754|0.00239
755|0.00233
756|0.01312
757|0.00109
758|0.98549
759|0.92064
760|0.99203
761|0.99368
762|0.00355
763|0.99211
764|0.99693
765|2e-4
766|0.99177
767|9e-4
768|0.00275
769|0.00253
770|5.9e-4
771|7.8e-4
772|0.9985
773|0.00406
774|0.00321
775|0.00464
776|0.00797
777|0.00511
778|0.98762
779|0.98876
780|0.02091
781|0.36256
782|0.00296
783|0.02226
784|0.95492
785|5.3e-4
786|0.97305
787|0.00221
788|0.00866
789|0.00391
790|0.0079
791|0.00196
792|0.00584
793|0.00725
794|0.00199
795|0.99743
796|0.0079
797|4.7e-4
798|0.00417
799|0.98784
800|0.00369
801|0.24113
802|0.03695
803|0.02092
804|0.00427
805|0.01999
806|0.98048
807|0.00485
808|0.01573
809|0.00274
810|7.7e-4
811|0.00127
812|0.0228
813|0.01981
814|0.00244
815|0.00216
816|5.3e-4
817|0.00406
818|0.00239
819|0.99582
820|0.99815
821|0.99723
822|3.6e-4
823|7.9e-4
824|0.99376
825|0.00167
826|0.00168
827|0.00174
828|0.00164
829|0.01463
830|0.01392
831|0.00173
832|2.2e-4
833|0.01263
834|0.00478
835|0.00281
836|0.00234
837|5e-4
838|0.00358
839|0.00568
840|0.00279
841|0.06154
842|0.07172
843|0.00117
844|0.00117
845|2.7e-4
846|0.98252
847|9.2e-4
848|0.00173
849|6.1e-4
850|6.6e-4
851|0.00124
852|0.98906
853|0.06221
854|0.53756
855|0.02076
856|0.00412
857|0.99646
858|0.9733
859|0.96343
860|0.02782
861|0.44868
862|0.2482
863|0.99691
864|0.00149
865|0.04469
866|0.24113
867|0.9963
868|0.98336
869|0.0064
870|5.2e-4
871|0.43871
872|0.03695
873|0.99645
874|0.0066
875|0.98609
876|0.00182
877|0.00275
878|0.1424
879|0.11271
880|0.00275
881|0.98431
882|0.91892
883|0.00531
884|0.00128
885|0.00591
886|0.00552
887|0.99563
888|0.96514
889|0.00229
890|0.99268
891|0.00277
892|0.00212
893|0.0039
894|0.00123
895|0.99186
896|0.99642
897|0.00844
898|0.0037
899|0.00142
900|0.99144
901|0.00104
902|0.01321
903|0.00104
904|0.01321
905|0.0013
906|0.98904
907|0.00164
908|0.03114
909|0.02923
910|0.99507
911|0.00405
912|9.6e-4
913|0.00127
914|0.99401
915|0.00244
916|0.001
917|0.99702
918|0.93544
919|0.00797
920|0.00214
921|0.03695
922|0.60078
923|0.99646
924|0.99563
925|0.00476
926|0.00612
927|0.03695
928|0.00201
929|0.09911
930|0.03986
931|0.03986
932|0.025
933|0.04819
934|0.00159
935|0.99145
936|0.8068
937|0.95224
938|0.0308
939|8.8e-4
940|0.02734
941|0.00406
942|0.97205
943|0.0079
944|0.17533
945|0.00275
946|0.96343
947|9.4e-4
948|0.97609
949|0.03695
950|0.96986000000000006
951|0.0011
952|0.0018600000000000001
953|0.00205
954|0.94008
955|0.00114
956|0.01393
957|0.01393
958|0.01393
959|0.01313
960|0.00735
961|0.00294
962|0.20911
963|0.01337
964|0.00183
965|0.00128
966|8.3e-4
967|0.0227
968|0.1728
969|0.0652
970|0.39438
971|0.97474
972|0.01832
973|4.2e-4
974|0.00429
975|1.8e-4
976|0.03568
977|0.00374
978|5.8e-4
979|0.98708
980|0.00815
981|0.99567
982|0.98149
983|0.00275
984|0.00429
985|0.99802
986|0.97339
987|0.00132
988|0.39027
989|0.03695
990|0.00234
991|0.004
992|0.98649
993|0.0522
994|0.99548
995|0.00964
996|0.00226
997|0.00241
998|0.9961
999|0.00406
1000|0.99826
1001|0.03695
1002|0.99659
1003|0.99659
1004|0.98187
1005|0.99933
1006|0.01305
1007|0.99841
1008|0.73947
1009|0.09551
1010|0.03695
1011|3.6e-4
1012|0.03466
1013|0.24113
1014|0.15336
1015|0.15336
1016|0.00607
1017|0.03695
1018|0.99286
1019|0.00234
1020|0.00113
1021|0.00122
1022|0.00149
1023|0.00275
1024|0.99738
1025|0.00106
1026|0.98967
1027|0.98512
1028|0.00234
1029|0.99028
1030|0.00543
1031|0.0048
1032|0.00323
1033|0.03695
1034|0.95802
1035|0.95877
1036|0.95877
1037|0.99467
1038|0.17571
1039|0.00234
1040|0.99515
1041|0.9931
1042|0.00234
1043|0.99109
1044|0.99109
1045|0.99635
1046|0.00218
1047|0.00122
1048|0.99782
1049|0.9979
1050|0.95374
1051|0.99003
1052|0.00471
1053|0.00275
1054|0.00797
1055|0.24113
1056|0.00275
1057|0.98598
1058|0.99686
1059|0.35849
1060|0.00324
1061|0.98734
1062|0.99708
1063|0.00124
1064|0.00181
1065|0.99026
1066|0.00193
1067|0.00175
1068|0.99104
1069|0.00686
1070|0.01337
1071|0.02056
1072|0.20911
1073|0.02373
1074|0.03695
1075|0.03695
1076|0.00093000000000000005
1077|0.24113
1078|0.99563
1079|0.39027
1080|0.99464
1081|0.9753
1082|0.99846
1083|0.98834
1084|5.2e-4
1085|0.00428
1086|0.00288
1087|0.18725
1088|0.00148
1089|0.80921
1090|0.00135
1091|0.06004
1092|0.05335
1093|9.4e-4
1094|0.00228
1095|0.41566
1096|0.16579
1097|0.00216
1098|0.00214
1099|0.0252
1100|0.0246
1101|0.00929
1102|0.00199
1103|0.00194
1104|0.00197
1105|0.0016
1106|0.00197
1107|0.01926
1108|8.8e-4
1109|2.1e-4
1110|0.00151
1111|0.00239
1112|0.00207
1113|0.02447
1114|0.01126
1115|0.00531
1116|0.00956
1117|0.00234
1118|0.00367
1119|0.00287
1120|5.9e-4
1121|0.94213
1122|0.9734
1123|0.99032
1124|0.99122
1125|0.16518
1126|0.0023
1127|0.10112
1128|0.00132
1129|0.00275
1130|8.5e-4
1131|0.03077
1132|0.9943
1133|0.00275
1134|0.00314
1135|8.5e-4
1136|0.00275
1137|0.06477
1138|0.00797
1139|0.00244
1140|0.00163
1141|0.0024
1142|0.00653
1143|0.00694
1144|0.00681
1145|0.00691
1146|0.00679
1147|0.03204
1148|0.00381
1149|0.00196
1150|0.99728000000000006
1151|5.3e-4
1152|0.01551
1153|5.3e-4
1154|0.04623
1155|0.00234
1156|0.00956
1157|0.02113
1158|4.2e-4
1159|0.02808
1160|0.99645
1161|0.00615
1162|0.00835
1163|0.99612
1164|0.00499
1165|0.00797
1166|0.00137
1167|0.0079
1168|0.02373
1169|0.00433
1170|9.2e-4
1171|9.4e-4
1172|0.00178
1173|0.01165
1174|0.01165
1175|0.01165
1176|0.01165
1177|9.4e-4
1178|9.4e-4
1179|9.4e-4
1180|9.8e-4
1181|0.012
1182|8.3e-4
1183|0.99008
1184|0.00459
1185|0.00142
1186|0.00142
1187|0.00142
1188|0.99629
1189|0.99117
1190|0.99628
1191|0.97759
1192|0.00251
1193|0.00182
1194|0.02384
1195|0.00275
1196|0.03695
1197|0.97966
1198|9.8e-4
1199|0.60279
1200|0.00234
1201|0.00234
1202|0.00199
1203|0.00234
1204|0.00194
1205|0.00367
1206|0.9777
1207|0.00196
1208|0.00185
1209|0.0161
1210|0.01663
1211|4.4e-4
1212|0.03045
1213|0.00275
1214|0.00234
1215|0.00093000000000000005
1216|0.03695
1217|0.99727
1218|0.00164
1219|0.00264
1220|0.00234
1221|0.00467
1222|0.00275
1223|0.00296
1224|0.98912
1225|0.0024
1226|2.9e-4
1227|0.00132
1228|0.05132
1229|0.99464
1230|0.00149
1231|0.07931
1232|0.00466
1233|0.97982
1234|0.99556
1235|9e-4
1236|0.00879
1237|0.99475
1238|0.00253
1239|0.99189
1240|0.00323
1241|0.96938
1242|0.01173
1243|0.00822
1244|0.0079
1245|0.99738
1246|0.00234
1247|9.4e-4
1248|0.98362
1249|0.00735
1250|0.04415
1251|0.00275
1252|0.00273
1253|0.00612
1254|0.00797
1255|0.9693
1256|0.00797
1257|0.98961
1258|0.99732
1259|0.99135
1260|0.00143
1261|0.99772
1262|0.99825
1263|9.8e-4
1264|0.00181
1265|5.7e-4
1266|0.11903
1267|3.8e-4
1268|0.01814
1269|0.00103
1270|0.00206
1271|0.00137
1272|0.00137
1273|0.00338
1274|0.05748
1275|0.00156
1276|0.00243
1277|0.05249
1278|0.9838
1279|0.00128
1280|0.15342
1281|0.00122
1282|0.00221
1283|0.00234
1284|0.00429
1285|0.00234
1286|0.00193
1287|0.99528
1288|0.00888
